,price,address,neighborhood,city,region,bedrooms,bathrooms,area,propType
0,"1,738",420 Valley Road,Glenmore Clifton Dilworth,Kelowna,Central Okanagan,2,2,936,Apt/Condo
1,"1,850",3477 Lakeshore Road,South Pandosy Klo,Kelowna,Central Okanagan,1,1,564,Apt/Condo
2,"1,498",3500 Sonoma Pines Drive,"3500 Sonoma Pines Drive
",Westbank,Central Okanagan,1,1,635,Apt/Condo
3,"1,648",3500 Sonoma Pines Drive,"3500 Sonoma Pines Drive
",Westbank,Central Okanagan,2,1,797,Apt/Condo
4,"1,778",3500 Sonoma Pines Drive,"3500 Sonoma Pines Drive
",Westbank,Central Okanagan,2,2,883,Apt/Condo
5,"2,398",3495 Sonoma Pines Drive,"3495 Sonoma Pines Drive
",Westbank,Central Okanagan,3,2,1267,Apt/Condo
6,"1,938",3500 Sonoma Pines Drive,"3500 Sonoma Pines Drive
",Westbank,Central Okanagan,3,2,1031,Apt/Condo
7,"1,300",33677 King Road,Poplar,Abbotsford,Fraser Valley and Chilliwack,0,1,413,Apt/Condo
8,"1,475",33677 King Road,Poplar,Abbotsford,Fraser Valley and Chilliwack,1,1,533,Apt/Condo
9,"1,925",33677 King Road,Poplar,Abbotsford,Fraser Valley and Chilliwack,2,2,826,Apt/Condo
10,"1,150",2578 James Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,0,1,465,Apt/Condo
11,"1,370",32888 Maclure Road,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,580,Apt/Condo
12,"1,910",2578 James Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,2,2,1105,Apt/Condo
13,"1,350",2461 Countess Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,1,1,538,Apt/Condo
14,"1,250",33361 Old Yale Road,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,846,Apt/Condo
15,"1,500",33361 Old Yale Road,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,846,Apt/Condo
16,975,3065 Clearbrook Road,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,0,1,334,Apt/Condo
17,"1,100",2959 Tims Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,1,1,543,Apt/Condo
18,"1,200",3065 Clearbrook Road,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,1,1,662,Apt/Condo
19,"1,475",3065 Clearbrook Road,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,2,1,903,Apt/Condo
20,"1,325",2959 Tims Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,2,1,544,Apt/Condo
21,"1,500",32120 Peardonville Rd.,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,2,1,861,Apt/Condo
22,"1,000",32120 Peardonville Rd.,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,0,1,590,Apt/Condo
23,"1,250",32120 Peardonville Rd.,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,1,1,590,Apt/Condo
24,975,33263 Bourquin Cres. E.,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,0,1,430,Apt/Condo
25,950,33292 Robertson Ave. E.,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,0,1,430,Apt/Condo
26,"1,375",33292 Robertson Ave. E.,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,920,Apt/Condo
27,"1,425",33263 Bourquin Cres. E.,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,950,Apt/Condo
28,"1,150",33292 Robertson Ave. E.,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,750,Apt/Condo
29,"1,200",33184 George Ferguson Way,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,675,Apt/Condo
30,"1,450",33184 George Ferguson Way,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,903,Apt/Condo
31,"1,200",33263 Bourquin Cres. E.,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,740,Apt/Condo
32,950,33298 Robertson Ave.,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,0,1,450,Apt/Condo
33,"1,100",33298 Robertson Ave.,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,685,Apt/Condo
34,"1,800",32030 George Ferguson Way,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,3,1,1188,Apt/Condo
35,"1,200",2485 Hill-Tout Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,1,1,746,Apt/Condo
36,"1,450",2485 Hill-Tout Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,2,1,900,Apt/Condo
37,"1,200",33136 George Ferguson Way,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,700,Apt/Condo
38,"1,450",33136 George Ferguson Way,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,930,Apt/Condo
39,"1,200",2525 Hill-Tout Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,1,1,641,Apt/Condo
40,"1,450",2525 Hill-Tout Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,2,1,857,Apt/Condo
41,"1,300",33298 Robertson Ave.,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,900,Apt/Condo
42,975,32030 George Ferguson Way,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,0,1,486,Apt/Condo
43,975,2485 Hill-Tout Street,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,0,1,666,Apt/Condo
44,"1,225",33405 Bourquin Place,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,714,Apt/Condo
45,"1,475",33405 Bourquin Place,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,902,Apt/Condo
46,"1,200",33710 Marshall Road,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,680,Apt/Condo
47,"1,450",33710 Marshall Road,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,880,Apt/Condo
48,"1,200",32030 George Ferguson Way,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,1,1,608,Apt/Condo
49,"1,475",32030 George Ferguson Way,Abbotsford West,Abbotsford,Fraser Valley and Chilliwack,2,1,864,Apt/Condo
50,950,2814 Pratt Crescent,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,0,1,475,Apt/Condo
51,"1,175",2814 Pratt Crescent,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,645,Apt/Condo
52,"1,400",2814 Pratt Crescent,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,900,Apt/Condo
53,"1,700",33914 George Ferguson Way,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,1,850,House
54,"1,200",33914 George Ferguson Way,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,1,1,600,House
55,"2,200",1833 Salton Road,Central Abbotsford,Abbotsford,Fraser Valley and Chilliwack,2,2,,Apt/Condo
56,"1,325",45810 First Ave.,Chilliwack W Young Well,Chilliwack,Fraser Valley and Chilliwack,2,2,870,Apt/Condo
57,"1,025",46095 Bole Avenue,Chilliwack N Yale Well,Chilliwack,Fraser Valley and Chilliwack,1,1,0,Apt/Condo
58,"2,950",6383 Mckay Avenue Mckay Avenue,Metrotown,Burnaby,Greater Vancouver,2,2,740,Apt/Condo
59,"2,480",8940 University Crescent,Simon Fraser University,Burnaby,Greater Vancouver,2,2,1070,Apt/Condo
60,"1,700",4650 Brentwood Blvd,Brentwood Park,Burnaby,Greater Vancouver,1,1,546,Apt/Condo
61,"1,700",4650 Brentwood Blvd,Brentwood Park,Burnaby,Greater Vancouver,1,1,546,Apt/Condo
62,"2,325",2388 Madison Avenue,Brentwood Park,Burnaby,Greater Vancouver,2,2,752,Apt/Condo
63,"2,100",9620 Manchester Drive,Cariboo,Burnaby,Greater Vancouver,2,1,902,Apt/Condo
64,"1,900",4650 Brentwood Drive,Brentwood Park,Burnaby,Greater Vancouver,1,1,540,Apt/Condo
65,"2,250",6861 Winch Street,Sperling Duthie,Burnaby,Greater Vancouver,3,2,1450,Duplex
66,"2,350",5885 Olive Avenue,Metrotown,Burnaby,Greater Vancouver,2,2,1181,Apt/Condo
67,"2,800",8940 University Crescent,Simon Fraser University,Burnaby,Greater Vancouver,2,2,924,Apt/Condo
68,"3,500",8940 University Crescent,Simon Fraser University,Burnaby,Greater Vancouver,2,2,975,Apt/Condo
69,"1,300",4437 Rumble Street,Metrotown,Burnaby,Greater Vancouver,1,1,700,House
70,"2,300",9329 University Crescent,Simon Fraser University,Burnaby,Greater Vancouver,2,2,840,Apt/Condo
71,"2,995",4510 Halifax Way,Brentwood Park,Burnaby,Greater Vancouver,2,2,1000,Apt/Condo
72,"2,600",6461 Telford Avenue,Metrotown,Burnaby,Greater Vancouver,2,2,906,Apt/Condo
73,"1,950",5775 Irmin Street,Metrotown,Burnaby,Greater Vancouver,2,2,808,Apt/Condo
74,"2,000",4330 Pender Street,Vancouver Heights,Burnaby,Greater Vancouver,2,1,750,House
75,"1,400",3055 North Road,Sullivan Heights,Burnaby,Greater Vancouver,1,1,655,Apt/Condo
76,"1,600",9005 Centaurus Circle,Simon Fraser Hills,Burnaby,Greater Vancouver,1,1,0,Apt/Condo
77,"1,750",9005 Centaurus Circle,Simon Fraser Hills,Burnaby,Greater Vancouver,2,1,0,Apt/Condo
78,"2,550",4105 1888 Gilmore Avenue,Brentwood Park,Burnaby,Greater Vancouver,2,2,789,House
